jedyorkgoat	@bdepouw09 @OhioState @NCAA suck my ass
Zimshady9611	#TheGame @OhioStateFB V. @UMichFootball #BringIt join us @saucybrewworks 10 screens, #volume up !! New #CraftBeer… https://t.co/H6qC2Ph9Uv
patricksimonBW	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
waade_3	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
BuckeyeDavid	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
superwb3	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
OhioStateAlumni	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
HouseofSports1	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
maddy_vera	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
abaker20	RT @ButlerBlue3: Wait, @ButlerMBB plays @OhioState on Sunday? I’m going to need the next 24 hours to get emotionally prepared. #PK80 #GoDaw…
OhElleNawl	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
CubsRSpiritual	@OhioState Go Blue !!
katiemac23	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
BjCampbell73	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
BjCampbell73	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
Hewett1Tim	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
m_nottage17	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
CFBONFOX	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
